variant	qualifier	member	arity	class	in_all	has_decl	has_scheme	in_first_schemed	in_canon_qual	has_lower_arm	runtime_sym	runtime_sym_exists	ref_runtime_sym_exists	in_ref_stdlib	status
LogPrintln	Log	println	1	Pure	Y	Y	Y	N	Y	Y	log_println	Y	N	N	OK
LogInfo	Log	info	1	Pure	Y	Y	Y	Y	Y	Y	log_info	Y	N	N	OK
LogDebug	Log	debug	1	Pure	Y	Y	Y	Y	Y	Y	log_debug	Y	N	N	OK
LogWarn	Log	warn	1	Pure	Y	Y	Y	Y	Y	Y	log_warn	Y	N	N	OK
LogError	Log	error	1	Pure	Y	Y	Y	Y	Y	Y	log_error	Y	N	N	OK
LogInfoWith	Log	infoWith	2	Pure	Y	Y	Y	Y	Y	Y	log_info_with	Y	N	N	OK
LogDebugWith	Log	debugWith	2	Pure	Y	Y	Y	Y	Y	Y	log_debug_with	Y	N	N	OK
LogWarnWith	Log	warnWith	2	Pure	Y	Y	Y	Y	Y	Y	log_warn_with	Y	N	N	OK
LogErrorWith	Log	errorWith	2	Pure	Y	Y	Y	Y	Y	Y	log_error_with	Y	N	N	OK
StringFromInt	String	fromInt	1	Pure	Y	Y	Y	N	Y	Y	string_from_int	Y	N	N	OK
StringFromFloat	String	fromFloat	1	Pure	Y	Y	Y	N	Y	Y	string_from_float	Y	N	N	OK
StringLength	String	length	1	Pure	Y	Y	Y	Y	Y	Y	string_length	Y	N	N	OK
StringIsEmpty	String	isEmpty	1	Pure	Y	Y	Y	Y	Y	Y	string_is_empty	Y	N	N	OK
StringReverse	String	reverse	1	Pure	Y	Y	Y	Y	Y	Y	string_reverse	Y	N	N	OK
StringToUpper	String	toUpper	1	Pure	Y	Y	Y	Y	Y	Y	string_to_upper	Y	N	N	OK
StringToLower	String	toLower	1	Pure	Y	Y	Y	Y	Y	Y	string_to_lower	Y	N	N	OK
StringCasefold	String	casefold	1	Pure	Y	Y	Y	Y	Y	Y	string_casefold	Y	N	N	OK
StringTrim	String	trim	1	Pure	Y	Y	Y	Y	Y	Y	string_trim	Y	N	N	OK
StringTrimStart	String	trimStart	1	Pure	Y	Y	Y	Y	Y	Y	string_trim_start	Y	N	N	OK
StringTrimEnd	String	trimEnd	1	Pure	Y	Y	Y	Y	Y	Y	string_trim_end	Y	N	N	OK
StringToInt	String	toInt	1	Pure	Y	Y	Y	Y	Y	Y	string_to_int	Y	N	N	OK
StringToFloat	String	toFloat	1	Pure	Y	Y	Y	Y	Y	Y	string_to_float	Y	N	N	OK
