finding	class	where	rename_to	approved
sky_parse	crate	crates/sky_parse (dir + Cargo pkg + every `use sky_parse`)	ipe_parse	1
sky_syntax	crate	crates/sky_syntax	ipe_syntax	1
sky_canon	crate	crates/sky_canon	ipe_canon	1
sky_types	crate	crates/sky_types	ipe_types	1
sky_lower	crate	crates/sky_lower	ipe_lower	1
sky_ir	crate	crates/sky_ir	ipe_ir	1
sky_backend	crate	crates/sky_backend	ipe_backend	1
sky_backend_rust	crate	crates/sky_backend_rust	ipe_backend_rust	1
sky_kernels	crate	crates/sky_kernels	ipe_kernels	1
sky_diagnostics	crate	crates/sky_diagnostics	ipe_diagnostics	1
sky_db	crate	crates/sky_db	ipe_db	1
sky_intern	crate	crates/sky_intern	ipe_intern	1
sky_watch	crate	crates/sky_watch	ipe_watch	1
skyc	crate+binary	crates/skyc (CLI crate); the produced binary `skyc`	crate `ipe`, binary `ipe` (single-binary per roadmap)	1
sky-runtime-rust	crate	runtime/Cargo.toml pkg name + every dep ref	ipe-runtime-rust	1
SkyError	rust-ident	error type across crates/**/*.rs + runtime	IpeError	1
Sky* (other Rust idents)	rust-ident	SkyCall / SkyVal / Sky-prefixed types+fns in crates/** + runtime (case-preserving)	Ipe* (Sky->Ipe verbatim)	1
IPE-NNNN	diag-code	every diagnostic code (IPE-L*/N*/T*/I*) in emit_*.rs + diagnostics + tests + docs + memory	IPE-NNNN	1
IPE_RUNTIME_DIR	env-var	scripts/lib/env.sh + skyc/src/lib.rs + all E2E tests (BUILD-HARNESS CONTRACT — rename scripts in lockstep)	IPE_RUNTIME_DIR	1
IPE_E2E	env-var	build-harness gate flag (scripts + tests + memory)	IPE_E2E	1
SKYC_BIN	env-var	scripts/lib/env.sh	IPE_BIN	1
IPE_* (all remaining)	env-var	IPE_LIVE_STORE(_PATH), IPE_DB_URL, IPE_BUILD_CACHE(_DIR), IPE_CONSOLE_AUTH, IPE_ENV, IPE_TUI_QUIET, IPE_UI_LAZY_CAP, IPE_LIVE_PORT, IPE_SERVER_PORT, IPE_TEST, IPE_CORE_PURE, IPE_CORE_WEBSOCKET, ...	IPE_* (IPE_->IPE_ verbatim)	1
.sky	source-ext	examples/**/*.sky, tests/golden/**/Main.sky, crates/skyc/stdlib/**/*.sky, compiler file-discovery, sky.toml `entry` (HIGH-IMPACT: regenerates every golden)	.ipe	1
sky.toml	manifest	project manifest filename + its parser in skyc	ipe.toml	1
sky-out/	build-dir	emitted-project output dir (skyc + scripts + .gitignore)	ipe-out/	1
.skycache	build-dir	build cache dir (skyc/src/cache.rs + .gitignore)	.ipecache	1
IPE_BUILD_CACHE(_DIR)	env-var	skyc/src/cache.rs	IPE_BUILD_CACHE(_DIR)	1
Sky (doc prose)	doc-prose	*.md prose naming the language (accented target)	Ipê	1
sky (doc prose)	doc-prose	*.md lowercase prose / commands	ipe	1
CLAUDE.md Sky.* refs	doc-ref	authoring reference — reconcile to code after the code rename	per stdlib-ns decision	1
Sky.Core.*	stdlib-ns	crates/skyc/stdlib/Sky/Core/** + every import	DEFER -> namespace-redesign phase (flatten Sky.Core+Std into one namespace; do NOT mechanically rename now, it is thrown away by the flatten)	1
Sky.Ffi	stdlib-ns	stdlib FFI namespace	DEFER -> namespace-redesign	1
Sky.Build.*	stdlib-ns	stdlib build hints (TailCallOpt, ...)	DEFER -> namespace-redesign	1
Sky.Http / Sky.Live / Sky.Tui / Sky.Webview / Sky.Cli	stdlib-ns	app-shape namespaces	DEFER -> namespace-redesign	1
Std.*	stdlib-ns	the Std namespace	DEFER -> namespace-redesign (flatten with Sky.Core)	1
../sky	must-stay	358 refs to the upstream Haskell/Go reference repo	KEEP	1
docs/divergences-from-sky.md	must-stay	filename + content compares Ipê to the ancestor language Sky	KEEP	1
README ancestry line	must-stay	the single sanctioned line naming the Sky ancestor	KEEP	1
Sky (upstream language in prose)	must-stay	divergence / roadmap / comparison docs describing the ancestor	KEEP	1
skydex	review	tool indexing the upstream ../sky reference (our fork uses ipe-index)	REVIEW (skydex stays for sky: rows; confirm split vs ipe-index)	1
